,Location,Price,Apt Type,Num of Bath,Neighborhood,District
5765,West 38th Street,"4,022",1 Bed,1,"Garment District, Hudson Yards", Midtown Manhattan
5766,Water Street,"5,638","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
5767,Wall Street,"3,588","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
5768,"44 Avenue B, Apt 2B","3,295",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5769,East 14th Street,"2,850",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5770,Forth Ave,"3,850",Studio,1,Greenwich Village, Downtown Manhattan
5771,W 55th and Broadway,"3,700",1 Bed,1,"Theater District, Midtown", Midtown Manhattan
5772,East 79th Street and York Ave,"2,225",Studio,1,Upper East Side, Upper Manhattan
5773,West 45th Street,"4,250",2 Bed,1,Hell's Kitchen, Midtown Manhattan
5774,E 33rd St,"3,802",1 Bed,1,Kips Bay, Midtown Manhattan
5775,E 106th St.,"2,995",2 Bed,1,"East Harlem, Harlem", Upper Manhattan
5776,West 14th Street,"5,895",3 Bed,1,West Village, Downtown Manhattan
5777,East 35th Street,"3,995",2 Bed,1,Murray Hill, Midtown Manhattan
5778,East 79th Street,"3,100",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5779,West 16th Street,"5,995",3 Bed,1,Chelsea, Midtown Manhattan
5780,West Street,"2,750","Studio
/ Flex 2",1,Financial District, Downtown Manhattan
5781,East 11 Street,"4,550",3 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5782,Gold Street,"3,580",Studio,1,Financial District, Downtown Manhattan
5783,West 162nd Street & Broadway,"2,700",2 Bed,1,Washington Heights, Upper Manhattan
5784,E 28TH ST,"8,625",4 Bed,2,Kips Bay, Midtown Manhattan
5785,East 49th Street,"4,275",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5786,East 79th Street,"3,250",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5787,"346 East 18th Street, Apt 4B","6,995",3 Bed,2,Gramercy Park, Midtown Manhattan
5788,East 47th Street,"8,800","3 Bed
/ Flex 5",2,"Turtle Bay, Midtown East", Midtown Manhattan
5789,East 46th Street,"2,850",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
5790,145 4th Avenue,"3,850",Studio,1,Greenwich Village, Downtown Manhattan
5791,4th Avenue + E.14th Street,"4,050",Studio,1,Greenwich Village, Downtown Manhattan
5792,Saint Mark's Place,"2,700",Studio,1,East Village, Downtown Manhattan
5793,145 East 30th Street,"7,083",3 Bed,2,"Rose Hill, Kips Bay", Midtown Manhattan
5794,Amsterdam Avenue,"2,650",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
5795,East 46 Street,"3,200",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5796,East 10th Street,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5797,East 31st Street,"5,800",2 Bed,2,"Rose Hill, Kips Bay", Midtown Manhattan
5798,200 Water Street,"4,250",1 Bed,1,Financial District, Downtown Manhattan
5799,"885 6th Avenue, Apt 39B","6,293",2 Bed,2,Midtown South, Midtown Manhattan
5800,"747 10th Avenue, Apt 24H","4,300","2 Bed
/ Flex 3",1,Hell's Kitchen, Midtown Manhattan
5801,Wall Street,"3,398",Studio,1,Financial District, Downtown Manhattan
5802,Chrystie Street,"2,599",Studio,1,Bowery, Downtown Manhattan
5803,West 13th Street,"3,825",1 Bed,1,West Village, Downtown Manhattan
5804,West 11th Street,"4,800",2 Bed,1,West Village, Downtown Manhattan
5805,West 60th Street,"7,995",3 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
5806,"216 East 83 Street, Apt 5B","2,895",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
5807,East 72nd Street,"2,750",1 Bed,1,"Lenox Hill, Upper East Side", Upper Manhattan
5808,Beekman Place,"5,000",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5809,West Street,"3,350",Studio,1,Financial District, Downtown Manhattan
5810,West 171st Street,"2,350",1 Bed,1,Washington Heights, Upper Manhattan
5811,Mott Street and Prince Street ...,"4,295",1 Bed,1,NoLita, Downtown Manhattan
5812,Saint Marks Place,"2,595",Studio,1,East Village, Downtown Manhattan
5813,East 7th Street,"2,600",Studio,1,"Alphabet City, East Village", Downtown Manhattan
5814,1661,"2,100",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5815,Madison Avenue,"7,495",3 Bed,2,NoMad, Midtown Manhattan
5816,"40 Thayer Street, Apt C12","2,250",1 Bed,1,"Fort George, Washington Heights", Upper Manhattan
5817,West 26th Street,"4,895",1 Bed,1,Chelsea, Midtown Manhattan
5818,East 78 Street,"2,350",Studio,1,Upper East Side, Upper Manhattan
5819,East 39th Street,"4,895",1 Bed,1.5,Murray Hill, Midtown Manhattan
5820,"1483 1st Avenue, Apt 5E","6,500",3 Bed,3,Upper East Side, Upper Manhattan
5821,West 132nd Street,"2,199",Studio,1,"Central Harlem, Harlem", Upper Manhattan
5822,151st Street,"2,975",2 Bed,1,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
5823,East 49th Street,"4,380",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5824,Lexington Avenue,"4,400",1 Bed,1,Upper East Side, Upper Manhattan
5825,East 27th Street,"5,797",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
5826,East 84th Street,"3,600",1 Bed,1,Upper East Side, Upper Manhattan
5827,East 11th Street,"6,995",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
5828,West 68th Street,"4,750",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
5829,West 38th Street,"8,110",1 Bed,1,Hudson Yards, Midtown Manhattan
5830,East 5th Street,"6,995",4 Bed,1.5,East Village, Downtown Manhattan
5831,West 54th Street,"4,904",1 Bed,1,Hell's Kitchen, Midtown Manhattan
5832,East 13th Street,"3,495",1 Bed,1,East Village, Downtown Manhattan
5833,West 62nd Street,"10,200",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
5834,516 East 80th Street,"1,950",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5835,East 80th Street,"1,950",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5836,East 77th Street,"6,395",2 Bed,2,Upper East Side, Upper Manhattan
5837,"300 W 122nd St, Apt 10O","6,500",2 Bed,2,"Central Harlem, Harlem", Upper Manhattan
5838,East 79 Street,"3,000",Studio,1,Upper East Side, Upper Manhattan
5839,Amsterdam Avenue,"5,300",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
5840,East 44th Street,"6,075",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5841,West 160th Street,"2,650",2 Bed,1,Washington Heights, Upper Manhattan
5842,Third Ave,"5,375",2 Bed,2,"Turtle Bay, Midtown East", Midtown Manhattan
5843,Luxury Soho Living,"17,000",2 Bed,2,SoHo, Downtown Manhattan
5844,"516 East 79th Street, Apt 3C","2,475",1 Bed,1,Upper East Side, Upper Manhattan
5845,Sixth Ave,"4,295",1 Bed,1,Midtown South, Midtown Manhattan
5846,Fourth Avenue,"3,850",Studio,1,Greenwich Village, Downtown Manhattan
5847,"520 West 183rd Street, Apt #6","2,500",2 Bed,1,"Fort George, Washington Heights", Upper Manhattan
5848,East 44th Street,"5,950",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5849,Water St,"3,875","1 Bed
/ Flex 3",1,Financial District, Downtown Manhattan
5850,"147 4th Avenue, Apt 12","5,800",1 Bed,1,Greenwich Village, Downtown Manhattan
5851,Orchard St & Rivington St NO-F...,"4,195",2 Bed,1,Lower East Side, Downtown Manhattan
5852,East 44th Street,"5,450",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5853,Ave B,"3,295",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5854,East 11th Street,"6,995",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
5855,East 89th Street,"6,500",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
5856,East 86th Street,"6,100",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
5857,East 86th Street,"5,400",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
5858,Copy of Wall Street,"4,650","1 Bed
/ Flex 3",1,Financial District, Downtown Manhattan
5859,East 11th Street,"3,750",1 Bed,1,East Village, Downtown Manhattan
5860,West 62nd Street,"5,762",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
5861,E 10th St.,"4,695","1 Bed
/ Flex 2",1,East Village, Downtown Manhattan
5862,E 32nd St.,"4,495",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
5863,E 34th street,"3,897","1 Bed
/ Flex 2",1,Murray Hill, Midtown Manhattan
5864,Thompson Street,"3,995",1 Bed,1,SoHo, Downtown Manhattan
5865,Wall Street,"3,750",Studio,1,Financial District, Downtown Manhattan
5866,West 24th Street,"5,128",1 Bed,1,Flatiron District, Midtown Manhattan
5867,Avenue C,"4,219",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5868,"319 East 8th Street, Apt 3C","4,150",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5869,East 95th Street,"4,495",3 Bed,2,"Carnegie Hill, Upper East Side", Upper Manhattan
5870,West 42 Street,"45,000",5 Bed,6,Hell's Kitchen, Midtown Manhattan
5871,"Exchange Place,","3,350",Studio,1,Financial District, Downtown Manhattan
5872,"200 East 87th Street, Apt 20B","15,000",3 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
5873,East 16th Street,"5,800",1 Bed,1,Gramercy Park, Midtown Manhattan
5874,1/2 East 1 Street,"4,995",2 Bed,2,Bowery, Downtown Manhattan
5875,Pearl St,"2,965","Studio
/ Flex 2",1,Financial District, Downtown Manhattan
5876,west 57 street,"6,495",3 Bed,2,Hell's Kitchen, Midtown Manhattan
5877,East 79th Street,"5,100",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
5878,East 79th Street,"5,100",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
5879,Pearl St,"2,965","Studio
/ Flex 2",1,Financial District, Downtown Manhattan
5880,west 57 street,"6,495",3 Bed,2,Hell's Kitchen, Midtown Manhattan
5881,West 35th Street,"3,725",1 Bed,1,Hudson Yards, Midtown Manhattan
5882,West 23 Street,"3,300",Studio,1,Chelsea, Midtown Manhattan
5883,E.13th St & 1st Ave *No-Fee* ...,"3,395",1 Bed,1.5,East Village, Downtown Manhattan
5884,east 48 street,"7,395",3 Bed,2,Midtown, Midtown Manhattan
5885,East 35th Street,"4,250",2 Bed,1,Murray Hill, Midtown Manhattan
5886,"301 East 38th Street, Apt 11C","2,995",1 Bed,1,Murray Hill, Midtown Manhattan
5887,East 39th Street,"7,650",3 Bed,2,Murray Hill, Midtown Manhattan
5888,East 44th Street,"9,200",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5889,East 44th Street,"9,800",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5890,East 36th Street,"2,900",Studio,1,Murray Hill, Midtown Manhattan
5891,West 54th Street,"5,300","2 Bed
/ Flex 3",1,Hell's Kitchen, Midtown Manhattan
5892,West 21st Street,"10,000",3 Bed,2,"West Chelsea, Chelsea", Midtown Manhattan
5893,Bleecker,"3,800",1 Bed,1,NoHo, Downtown Manhattan
5894,"520 West 43rd Street, Apt F31","5,775",2 Bed,2,Hell's Kitchen, Midtown Manhattan
5895,East 79th Street,"9,050",3 Bed,3,"Yorkville, Upper East Side", Upper Manhattan
5896,East 9 Street,"2,850",1 Bed,1,East Village, Downtown Manhattan
5897,E 5th,"6,695","4 Bed
/ Flex 5",3,East Village, Downtown Manhattan
5898,Hudson Yards,"25,000",3 Bed,3.5,Hudson Yards, Midtown Manhattan
5899,Exchange Place,"3,117",Studio,1,Financial District, Downtown Manhattan
5900,Water Street and John Street,"3,071",Studio,1,Financial District, Downtown Manhattan
5901,East 9 Street,"2,850",1 Bed,1,East Village, Downtown Manhattan
5902,E 5th,"6,695","4 Bed
/ Flex 5",3,East Village, Downtown Manhattan
5903,East 13th Street,"3,395",1 Bed,1.5,East Village, Downtown Manhattan
5904,Hudson Yards,"25,000",3 Bed,3.5,Hudson Yards, Midtown Manhattan
5905,East 77th Street,"5,695",2 Bed,1,Upper East Side, Upper Manhattan
5906,East 80th Street,"1,950",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5907,Exchange Place,"4,495",2 Bed,1,Financial District, Downtown Manhattan
5908,East 3rd Street,"3,599",2 Bed,1,Bowery, Downtown Manhattan
5909,Pine Street,"4,796",1 Bed,1,Financial District, Downtown Manhattan
5910,East 80th Street & York Ave,"2,275",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
5911,East 13th Street,"5,495",2 Bed,2,East Village, Downtown Manhattan
5912,"116 John Street, Apt 1505","4,495",1 Bed,1,Financial District, Downtown Manhattan
5913,West 98th St & Broadway Electr...,"4,900",2 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
5914,East 22nd Street,"3,895",Studio,1,Flatiron District, Midtown Manhattan
5915,East 77th Street,"6,895",2 Bed,2,Upper East Side, Upper Manhattan
5916,East 79th Street and York Ave,"2,300",Studio,1,Upper East Side, Upper Manhattan
5917,Prince Street,"4,395",1 Bed,1,NoLita, Downtown Manhattan
5918,Wall Street,"4,236",Studio,1,Financial District, Downtown Manhattan
5919,"180 Riverside Boulevard, Apt 4...","8,263",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
5920,Washington Street,"3,650","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
5921,East 14th Street,"2,849",1 Bed,1,East Village, Downtown Manhattan
5922,719 E 6th Street,"2,950",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5923,Ridge Street,"3,495",1 Bed,1.5,Lower East Side, Downtown Manhattan
5924,East 36th Street,"3,850",1 Bed,1,Murray Hill, Midtown Manhattan
5925,East 9th Street,"2,850",1 Bed,1,East Village, Downtown Manhattan
5926,Jones Street,"5,495",2 Bed,1,West Village, Downtown Manhattan
5927,East 85th Street,"3,395",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
5928,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
5929,East 111 Street,"2,100",1 Bed,1,"East Harlem, Harlem", Upper Manhattan
5930,222 East 39th Street,"3,700",1 Bed,1,Murray Hill, Midtown Manhattan
5931,East 21st Street,"4,000",1 Bed,1,Gramercy Park, Midtown Manhattan
5932,21st Street & 3rd Avenue,"3,000",Studio,1,Gramercy Park, Midtown Manhattan
5933,Prince Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
5934,Wall Street,"4,995",Studio,1,Financial District, Downtown Manhattan
5935,East 54 Street,"2,975",Studio,1,"Sutton Place, Midtown East", Midtown Manhattan
5936,West 58 street,"5,900",2 Bed,2,Hell's Kitchen, Midtown Manhattan
5937,"220 Cabrini Boulevard, Apt 2D","2,250",1 Bed,1,"Hudson Heights, Washington Heights", Upper Manhattan
5938,Wall Street,"3,130",Studio,1,Financial District, Downtown Manhattan
5939,9th street and 2nd Avenue,"2,880",1 Bed,1,East Village, Downtown Manhattan
5940,West 58 street,"4,400",1 Bed,1,Hell's Kitchen, Midtown Manhattan
5941,East 79 Street,"3,000",Studio,1,Upper East Side, Upper Manhattan
5942,West 50th Street,"4,035",1 Bed,1,"Theater District, Midtown", Midtown Manhattan
5943,"331 East Houston Street, Apt 9...","3,826","1 Bed
/ Flex 2",1,Lower East Side, Downtown Manhattan
5944,Norfolk Street,"3,050",1 Bed,1,Lower East Side, Downtown Manhattan
5945,East 11th Street,"2,650",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5946,East 79th Street,"3,250",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5947,5th Ave,"4,200",1 Bed,1,Midtown South, Midtown Manhattan
5948,West 29th Street,"3,960",Studio,1,Chelsea, Midtown Manhattan
5949,West 11th Street,"4,800",2 Bed,1,West Village, Downtown Manhattan
5950,West 38th Street,"4,390",Studio,1,Hudson Yards, Midtown Manhattan
5951,Pearl Street,"4,240","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
5952,East 11th St & 3rd Ave *NO-FEE...,"3,750",1 Bed,1,East Village, Downtown Manhattan
5953,East 55th Street,"4,100",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
5954,Fourth Avenue,"4,050",Studio,1,Greenwich Village, Downtown Manhattan
5955,East 58th Street,"4,997",2 Bed,2,Midtown East, Midtown Manhattan
5956,East 13th Street,"3,495",1 Bed,1,East Village, Downtown Manhattan
5957,East 54th Street,"5,776",1 Bed,1,Midtown East, Midtown Manhattan
5958,East 100th Street,"4,695",4 Bed,2,"East Harlem, Harlem", Upper Manhattan
5959,Ludlow Street,"3,890",Studio,1,Lower East Side, Downtown Manhattan
5960,East 75th Street,"5,937",3 Bed,2,Upper East Side, Upper Manhattan
5961,Dyckman street,"1,750",Studio,1,"Fort George, Washington Heights", Upper Manhattan
5962,east 27 street,"5,495",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
5963,Fifth Avenue,"2,400",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
5964,Broad Street,"4,217",1 Bed,1,Financial District, Downtown Manhattan
5965,East 11th Street,"2,650",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5966,East 11th Street,"2,650",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5967,E 28th Street,"4,150",1 Bed,1,Kips Bay, Midtown Manhattan
5968,E 49st,"3,995",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5969,East 79th Street,"3,100",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5970,"1500 2nd Avenue, Apt 5D","2,395","1 Bed
/ Flex 2",1,Upper East Side, Upper Manhattan
5971,East 10th Street,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5972,William St,"4,682","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
5973,Water Street,"3,500",Studio,1,Financial District, Downtown Manhattan
5974,Prince Street & Elizabeth St N...,"4,295",1 Bed,1,NoLita, Downtown Manhattan
5975,East 11th Street,"6,995",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
5976,John and William,"6,095","2 Bed
/ Flex 4",1,Financial District, Downtown Manhattan
5977,"Avenues B, New York, NY 10009","4,995",3 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5978,Gold Street,"3,100",Studio,1,Financial District, Downtown Manhattan
5979,East 80th Street,"1,950",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5980,"1380 Riverside Drive, Apt 2","1,827",Studio,1,"Hudson Heights, Washington Heights", Upper Manhattan
5981,East 80th Street,"1,950",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
5982,Henry Street,"3,850",3 Bed,1,Two Bridges, Downtown Manhattan
5983,west 75th and Columbus,"3,390",1 Bed,1,Upper West Side, Upper Manhattan
5984,East 55th Street,"2,800",Studio,1,Midtown East, Midtown Manhattan
5985,Wall Street,"3,483",Studio,1,Financial District, Downtown Manhattan
5986,"880 St Nicholas Avenue, Apt 64...","3,750",3 Bed,2,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
5987,East 27th Street,"4,025",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
5988,East 32nd Street,"3,725",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
5989,"880 St Nicholas Avenue, Apt 64...","3,750",3 Bed,2,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
5990,1st Avenue and 59th St,"2,450",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
5991,East 54th Street,"7,500","3 Bed
/ Flex 4",1,"Sutton Place, Midtown East", Midtown Manhattan
5992,Exchange Place,"3,034",Studio,1,Financial District, Downtown Manhattan
5993,Exchange Place 1203,"3,300",Studio,1,Financial District, Downtown Manhattan
5994,West 13 Street,"3,100",Studio,1,West Village, Downtown Manhattan
5995,East 77th Street,"4,295",1 Bed,1,Upper East Side, Upper Manhattan
5996,East 77th Street,"5,095",1 Bed,1,Upper East Side, Upper Manhattan
5997,East 5th Street,"3,395",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
5998,East 46th Street,"3,200",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
5999,East 33rd Street,"3,802",1 Bed,1,Kips Bay, Midtown Manhattan
6000,East 95th Street,"3,925",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
6001,West 96th Street,"5,800","2 Bed
/ Flex 3",2,Upper West Side, Upper Manhattan
6002,Mott Street,"4,395",1 Bed,1,NoLita, Downtown Manhattan
6003,Wall Street,"3,095",Studio,1,Financial District, Downtown Manhattan
6004,"425 Fifth Ave, Apt 32E","4,300",1 Bed,1,Midtown South, Midtown Manhattan
6005,"135 W 52nd St, Apt 20B","13,100",2 Bed,2,"Theater District, Midtown", Midtown Manhattan
6006,West 14th Street,"6,495",3 Bed,1,West Village, Downtown Manhattan
6007,E 28th Street,"5,505",2 Bed,1,Kips Bay, Midtown Manhattan
6008,"147 4th Avenue, Apt 5G","4,375",1 Bed,1,Greenwich Village, Downtown Manhattan
6009,Convent Ave and Broadway,"3,290",3 Bed,1,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
6010,East 3rd Street,"3,199",1 Bed,1,Bowery, Downtown Manhattan
6011,5th Ave & W 9th St,"5,500",1 Bed,1,Greenwich Village, Downtown Manhattan
6012,"200 West 60th Street, Apt 16E","4,750",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
6013,West 13th Street,"4,100",1 Bed,1,West Village, Downtown Manhattan
6014,239 West 63rd Street,"3,800",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
6015,East 34 Street,"4,250",1 Bed,1,Murray Hill, Midtown Manhattan
6016,West 14 Street,"4,995",1 Bed,1,West Village, Downtown Manhattan
6017,East 13th Street,"3,295",1 Bed,1,East Village, Downtown Manhattan
